"","start","MSG.The.Messenger."
"1",2015-03-01,100
"2",2015-03-02,75
"3",2015-03-03,60
"4",2015-03-04,62
"5",2015-03-05,57
"6",2015-03-06,48
"7",2015-03-07,78
"8",2015-03-08,63
"9",2015-03-09,48
"10",2015-03-10,39
"11",2015-03-11,34
"12",2015-03-12,33
"13",2015-03-13,27
"14",2015-03-14,51
"15",2015-03-15,38
"16",2015-03-16,30
"17",2015-03-17,25
"18",2015-03-18,24
"19",2015-03-19,20
"20",2015-03-20,25
"21",2015-03-21,41
"22",2015-03-22,29
"23",2015-03-23,16
"24",2015-03-24,20
"25",2015-03-25,29
"26",2015-03-26,14
"27",2015-03-27,22
"28",2015-03-28,19
"29",2015-03-29,35
"30",2015-03-30,17
"31",2015-03-31,15
