"","start","Chashme.Baddoor."
"1",2013-05-01,78
"2",2013-05-02,65
"3",2013-05-03,73
"4",2013-05-04,100
"5",2013-05-05,78
"6",2013-05-06,52
"7",2013-05-07,41
"8",2013-05-08,60
"9",2013-05-09,71
"10",2013-05-10,78
"11",2013-05-11,93
"12",2013-05-12,73
"13",2013-05-13,55
"14",2013-05-14,58
"15",2013-05-15,59
"16",2013-05-16,57
"17",2013-05-17,62
"18",2013-05-18,71
"19",2013-05-19,68
"20",2013-05-20,48
"21",2013-05-21,43
"22",2013-05-22,41
"23",2013-05-23,38
"24",2013-05-24,61
"25",2013-05-25,75
"26",2013-05-26,58
"27",2013-05-27,46
"28",2013-05-28,56
"29",2013-05-29,48
"30",2013-05-30,60
"31",2013-05-31,62
