"","start","Chashme.Baddoor."
"1",2013-04-01,14
"2",2013-04-02,12
"3",2013-04-03,12
"4",2013-04-04,20
"5",2013-04-05,68
"6",2013-04-06,100
"7",2013-04-07,74
"8",2013-04-08,52
"9",2013-04-09,37
"10",2013-04-10,34
"11",2013-04-11,33
"12",2013-04-12,34
"13",2013-04-13,37
"14",2013-04-14,30
"15",2013-04-15,19
"16",2013-04-16,18
"17",2013-04-17,18
"18",2013-04-18,16
"19",2013-04-19,17
"20",2013-04-20,20
"21",2013-04-21,19
"22",2013-04-22,12
"23",2013-04-23,11
"24",2013-04-24,11
"25",2013-04-25,9
"26",2013-04-26,12
"27",2013-04-27,15
"28",2013-04-28,14
"29",2013-04-29,10
"30",2013-04-30,11
