"","start","Baby."
"1",2015-02-01,100
"2",2015-02-02,84
"3",2015-02-03,83
"4",2015-02-04,82
"5",2015-02-05,83
"6",2015-02-06,86
"7",2015-02-07,96
"8",2015-02-08,96
"9",2015-02-09,83
"10",2015-02-10,84
"11",2015-02-11,82
"12",2015-02-12,81
"13",2015-02-13,82
"14",2015-02-14,87
"15",2015-02-15,91
"16",2015-02-16,86
"17",2015-02-17,85
"18",2015-02-18,84
"19",2015-02-19,83
"20",2015-02-20,85
"21",2015-02-21,94
"22",2015-02-22,94
"23",2015-02-23,81
"24",2015-02-24,82
"25",2015-02-25,84
"26",2015-02-26,84
"27",2015-02-27,83
"28",2015-02-28,91
