"","start","Baby."
"1",2015-03-01,95
"2",2015-03-02,86
"3",2015-03-03,89
"4",2015-03-04,93
"5",2015-03-05,94
"6",2015-03-06,90
"7",2015-03-07,99
"8",2015-03-08,99
"9",2015-03-09,88
"10",2015-03-10,89
"11",2015-03-11,88
"12",2015-03-12,90
"13",2015-03-13,90
"14",2015-03-14,98
"15",2015-03-15,97
"16",2015-03-16,87
"17",2015-03-17,88
"18",2015-03-18,87
"19",2015-03-19,87
"20",2015-03-20,90
"21",2015-03-21,98
"22",2015-03-22,98
"23",2015-03-23,88
"24",2015-03-24,89
"25",2015-03-25,83
"26",2015-03-26,83
"27",2015-03-27,89
"28",2015-03-28,100
"29",2015-03-29,99
"30",2015-03-30,89
"31",2015-03-31,90
