"","start","Baby."
"1",2015-01-01,82
"2",2015-01-02,83
"3",2015-01-03,85
"4",2015-01-04,86
"5",2015-01-05,75
"6",2015-01-06,78
"7",2015-01-07,77
"8",2015-01-08,74
"9",2015-01-09,78
"10",2015-01-10,85
"11",2015-01-11,86
"12",2015-01-12,76
"13",2015-01-13,74
"14",2015-01-14,75
"15",2015-01-15,75
"16",2015-01-16,78
"17",2015-01-17,86
"18",2015-01-18,87
"19",2015-01-19,79
"20",2015-01-20,77
"21",2015-01-21,77
"22",2015-01-22,78
"23",2015-01-23,88
"24",2015-01-24,100
"25",2015-01-25,97
"26",2015-01-26,80
"27",2015-01-27,80
"28",2015-01-28,79
"29",2015-01-29,78
"30",2015-01-30,79
"31",2015-01-31,89
