"","start","Kill.Dil."
"1",2014-09-01,0
"2",2014-09-02,0
"3",2014-09-03,0
"4",2014-09-04,0
"5",2014-09-05,0
"6",2014-09-06,0
"7",2014-09-07,0
"8",2014-09-08,0
"9",2014-09-09,0
"10",2014-09-10,0
"11",2014-09-11,0
"12",2014-09-12,0
"13",2014-09-13,1
"14",2014-09-14,1
"15",2014-09-15,1
"16",2014-09-16,1
"17",2014-09-17,1
"18",2014-09-18,6
"19",2014-09-19,4
"20",2014-09-20,3
"21",2014-09-21,3
"22",2014-09-22,2
"23",2014-09-23,2
"24",2014-09-24,1
"25",2014-09-25,3
"26",2014-09-26,3
"27",2014-09-27,4
"28",2014-09-28,3
"29",2014-09-29,3
"30",2014-09-30,3
"31",2014-10-01,3
"32",2014-10-02,3
"33",2014-10-03,3
"34",2014-10-04,3
"35",2014-10-05,3
"36",2014-10-06,3
"37",2014-10-07,3
"38",2014-10-08,3
"39",2014-10-09,4
"40",2014-10-10,5
"41",2014-10-11,5
"42",2014-10-12,5
"43",2014-10-13,4
"44",2014-10-14,4
"45",2014-10-15,5
"46",2014-10-16,5
"47",2014-10-17,5
"48",2014-10-18,6
"49",2014-10-19,5
"50",2014-10-20,5
"51",2014-10-21,5
"52",2014-10-22,6
"53",2014-10-23,6
"54",2014-10-24,8
"55",2014-10-25,8
"56",2014-10-26,9
"57",2014-10-27,8
"58",2014-10-28,10
"59",2014-10-29,10
"60",2014-10-30,12
"61",2014-10-31,14
"62",2014-11-01,18
"63",2014-11-02,20
"64",2014-11-03,16
"65",2014-11-04,16
"66",2014-11-05,15
"67",2014-11-06,18
"68",2014-11-07,19
"69",2014-11-08,29
"70",2014-11-09,26
"71",2014-11-10,22
"72",2014-11-11,22
"73",2014-11-12,23
"74",2014-11-13,28
"75",2014-11-14,77
"76",2014-11-15,100
"77",2014-11-16,77
"78",2014-11-17,53
"79",2014-11-18,45
"80",2014-11-19,41
"81",2014-11-20,38
"82",2014-11-21,37
"83",2014-11-22,44
"84",2014-11-23,36
"85",2014-11-24,25
"86",2014-11-25,21
"87",2014-11-26,20
"88",2014-11-27,20
"89",2014-11-28,20
"90",2014-11-29,23
"91",2014-11-30,20
