"","start","Kill.Dil."
"1",2014-12-01,92
"2",2014-12-02,89
"3",2014-12-03,81
"4",2014-12-04,76
"5",2014-12-05,78
"6",2014-12-06,100
"7",2014-12-07,85
"8",2014-12-08,61
"9",2014-12-09,57
"10",2014-12-10,58
"11",2014-12-11,54
"12",2014-12-12,57
"13",2014-12-13,68
"14",2014-12-14,62
"15",2014-12-15,45
"16",2014-12-16,41
"17",2014-12-17,46
"18",2014-12-18,49
"19",2014-12-19,56
"20",2014-12-20,64
"21",2014-12-21,68
"22",2014-12-22,55
"23",2014-12-23,52
"24",2014-12-24,61
"25",2014-12-25,68
"26",2014-12-26,55
"27",2014-12-27,86
"28",2014-12-28,73
"29",2014-12-29,51
"30",2014-12-30,47
"31",2014-12-31,48
