"","start","Bang.Bang."
"1",2014-12-01,73
"2",2014-12-02,74
"3",2014-12-03,76
"4",2014-12-04,78
"5",2014-12-05,84
"6",2014-12-06,92
"7",2014-12-07,89
"8",2014-12-08,76
"9",2014-12-09,77
"10",2014-12-10,76
"11",2014-12-11,78
"12",2014-12-12,86
"13",2014-12-13,93
"14",2014-12-14,97
"15",2014-12-15,77
"16",2014-12-16,75
"17",2014-12-17,76
"18",2014-12-18,75
"19",2014-12-19,83
"20",2014-12-20,88
"21",2014-12-21,90
"22",2014-12-22,78
"23",2014-12-23,80
"24",2014-12-24,85
"25",2014-12-25,100
"26",2014-12-26,91
"27",2014-12-27,92
"28",2014-12-28,93
"29",2014-12-29,83
"30",2014-12-30,87
"31",2014-12-31,88
