"","start","end","Bang.Bang."
"1",2014-07-06,2014-07-12,47
"2",2014-07-13,2014-07-19,46
"3",2014-07-20,2014-07-26,52
"4",2014-07-27,2014-08-02,57
"5",2014-08-03,2014-08-09,57
"6",2014-08-10,2014-08-16,53
"7",2014-08-17,2014-08-23,56
"8",2014-08-24,2014-08-30,67
"9",2014-08-31,2014-09-06,62
"10",2014-09-07,2014-09-13,62
"11",2014-09-14,2014-09-20,65
"12",2014-09-21,2014-09-27,76
"13",2014-09-28,2014-10-04,100
"14",2014-10-05,2014-10-11,99
"15",2014-10-12,2014-10-18,80
"16",2014-10-19,2014-10-25,72
"17",2014-10-26,2014-11-01,70
