"","start","PK.movie."
"1",2015-01-01,100
"2",2015-01-02,87
"3",2015-01-03,95
"4",2015-01-04,84
"5",2015-01-05,61
"6",2015-01-06,59
"7",2015-01-07,54
"8",2015-01-08,52
"9",2015-01-09,53
"10",2015-01-10,63
"11",2015-01-11,59
"12",2015-01-12,43
"13",2015-01-13,40
"14",2015-01-14,38
"15",2015-01-15,39
"16",2015-01-16,38
"17",2015-01-17,46
"18",2015-01-18,43
"19",2015-01-19,31
"20",2015-01-20,28
"21",2015-01-21,29
"22",2015-01-22,29
"23",2015-01-23,29
"24",2015-01-24,35
"25",2015-01-25,34
"26",2015-01-26,24
"27",2015-01-27,21
"28",2015-01-28,20
"29",2015-01-29,20
"30",2015-01-30,21
"31",2015-01-31,28
