"","start","PK.movie."
"1",2014-10-01,2
"2",2014-10-02,2
"3",2014-10-03,2
"4",2014-10-04,2
"5",2014-10-05,2
"6",2014-10-06,2
"7",2014-10-07,2
"8",2014-10-08,2
"9",2014-10-09,2
"10",2014-10-10,2
"11",2014-10-11,2
"12",2014-10-12,2
"13",2014-10-13,2
"14",2014-10-14,2
"15",2014-10-15,2
"16",2014-10-16,2
"17",2014-10-17,3
"18",2014-10-18,3
"19",2014-10-19,3
"20",2014-10-20,2
"21",2014-10-21,2
"22",2014-10-22,2
"23",2014-10-23,3
"24",2014-10-24,4
"25",2014-10-25,4
"26",2014-10-26,3
"27",2014-10-27,3
"28",2014-10-28,3
"29",2014-10-29,3
"30",2014-10-30,3
"31",2014-10-31,3
"32",2014-11-01,3
"33",2014-11-02,3
"34",2014-11-03,3
"35",2014-11-04,3
"36",2014-11-05,3
"37",2014-11-06,3
"38",2014-11-07,3
"39",2014-11-08,4
"40",2014-11-09,4
"41",2014-11-10,4
"42",2014-11-11,3
"43",2014-11-12,3
"44",2014-11-13,3
"45",2014-11-14,4
"46",2014-11-15,4
"47",2014-11-16,4
"48",2014-11-17,4
"49",2014-11-18,4
"50",2014-11-19,4
"51",2014-11-20,4
"52",2014-11-21,4
"53",2014-11-22,5
"54",2014-11-23,5
"55",2014-11-24,4
"56",2014-11-25,4
"57",2014-11-26,4
"58",2014-11-27,4
"59",2014-11-28,4
"60",2014-11-29,5
"61",2014-11-30,5
"62",2014-12-01,4
"63",2014-12-02,4
"64",2014-12-03,4
"65",2014-12-04,4
"66",2014-12-05,5
"67",2014-12-06,5
"68",2014-12-07,5
"69",2014-12-08,4
"70",2014-12-09,5
"71",2014-12-10,5
"72",2014-12-11,5
"73",2014-12-12,6
"74",2014-12-13,7
"75",2014-12-14,7
"76",2014-12-15,6
"77",2014-12-16,6
"78",2014-12-17,8
"79",2014-12-18,15
"80",2014-12-19,87
"81",2014-12-20,100
"82",2014-12-21,83
"83",2014-12-22,66
"84",2014-12-23,58
"85",2014-12-24,64
"86",2014-12-25,71
"87",2014-12-26,59
"88",2014-12-27,58
"89",2014-12-28,53
"90",2014-12-29,47
"91",2014-12-30,49
"92",2014-12-31,50
