"","start","R.Rajkumar.movie."
"1",2014-01-01,100
"2",2014-01-02,79
"3",2014-01-03,83
"4",2014-01-04,91
"5",2014-01-05,96
"6",2014-01-06,62
"7",2014-01-07,58
"8",2014-01-08,54
"9",2014-01-09,60
"10",2014-01-10,57
"11",2014-01-11,76
"12",2014-01-12,62
"13",2014-01-13,55
"14",2014-01-14,52
"15",2014-01-15,42
"16",2014-01-16,47
"17",2014-01-17,50
"18",2014-01-18,64
"19",2014-01-19,56
"20",2014-01-20,44
"21",2014-01-21,40
"22",2014-01-22,35
"23",2014-01-23,43
"24",2014-01-24,43
"25",2014-01-25,55
"26",2014-01-26,49
"27",2014-01-27,40
"28",2014-01-28,36
"29",2014-01-29,36
"30",2014-01-30,38
"31",2014-01-31,41
