"","start","R.Rajkumar.movie."
"1",2013-12-01,16
"2",2013-12-02,14
"3",2013-12-03,14
"4",2013-12-04,16
"5",2013-12-05,21
"6",2013-12-06,75
"7",2013-12-07,100
"8",2013-12-08,91
"9",2013-12-09,80
"10",2013-12-10,69
"11",2013-12-11,65
"12",2013-12-12,64
"13",2013-12-13,68
"14",2013-12-14,80
"15",2013-12-15,73
"16",2013-12-16,49
"17",2013-12-17,47
"18",2013-12-18,47
"19",2013-12-19,45
"20",2013-12-20,45
"21",2013-12-21,55
"22",2013-12-22,46
"23",2013-12-23,40
"24",2013-12-24,38
"25",2013-12-25,43
"26",2013-12-26,34
"27",2013-12-27,29
"28",2013-12-28,32
"29",2013-12-29,32
"30",2013-12-30,27
"31",2013-12-31,28
