"","start","The.Shaukeens.movie."
"1",2014-11-01,17
"2",2014-11-02,18
"3",2014-11-03,16
"4",2014-11-04,16
"5",2014-11-05,17
"6",2014-11-06,25
"7",2014-11-07,80
"8",2014-11-08,100
"9",2014-11-09,71
"10",2014-11-10,50
"11",2014-11-11,46
"12",2014-11-12,44
"13",2014-11-13,38
"14",2014-11-14,39
"15",2014-11-15,45
"16",2014-11-16,38
"17",2014-11-17,26
"18",2014-11-18,23
"19",2014-11-19,22
"20",2014-11-20,25
"21",2014-11-21,25
"22",2014-11-22,23
"23",2014-11-23,24
"24",2014-11-24,13
"25",2014-11-25,16
"26",2014-11-26,16
"27",2014-11-27,15
"28",2014-11-28,16
"29",2014-11-29,20
"30",2014-11-30,17
