"","start","Ek.Villain."
"1",2014-03-01,0
"2",2014-03-02,0
"3",2014-03-03,0
"4",2014-03-04,0
"5",2014-03-05,0
"6",2014-03-06,0
"7",2014-03-07,0
"8",2014-03-08,0
"9",2014-03-09,0
"10",2014-03-10,0
"11",2014-03-11,0
"12",2014-03-12,0
"13",2014-03-13,0
"14",2014-03-14,0
"15",2014-03-15,0
"16",2014-03-16,0
"17",2014-03-17,0
"18",2014-03-18,0
"19",2014-03-19,0
"20",2014-03-20,0
"21",2014-03-21,0
"22",2014-03-22,0
"23",2014-03-23,0
"24",2014-03-24,0
"25",2014-03-25,0
"26",2014-03-26,0
"27",2014-03-27,0
"28",2014-03-28,0
"29",2014-03-29,0
"30",2014-03-30,0
"31",2014-03-31,0
"32",2014-04-01,1
"33",2014-04-02,1
"34",2014-04-03,1
"35",2014-04-04,5
"36",2014-04-05,6
"37",2014-04-06,4
"38",2014-04-07,3
"39",2014-04-08,3
"40",2014-04-09,2
"41",2014-04-10,2
"42",2014-04-11,2
"43",2014-04-12,2
"44",2014-04-13,2
"45",2014-04-14,2
"46",2014-04-15,1
"47",2014-04-16,1
"48",2014-04-17,1
"49",2014-04-18,1
"50",2014-04-19,2
"51",2014-04-20,2
"52",2014-04-21,1
"53",2014-04-22,1
"54",2014-04-23,1
"55",2014-04-24,1
"56",2014-04-25,2
"57",2014-04-26,1
"58",2014-04-27,2
"59",2014-04-28,1
"60",2014-04-29,1
"61",2014-04-30,1
"62",2014-05-01,1
"63",2014-05-02,2
"64",2014-05-03,2
"65",2014-05-04,2
"66",2014-05-05,3
"67",2014-05-06,3
"68",2014-05-07,3
"69",2014-05-08,10
"70",2014-05-09,19
"71",2014-05-10,26
"72",2014-05-11,27
"73",2014-05-12,30
"74",2014-05-13,36
"75",2014-05-14,38
"76",2014-05-15,50
"77",2014-05-16,55
"78",2014-05-17,69
"79",2014-05-18,66
"80",2014-05-19,54
"81",2014-05-20,54
"82",2014-05-21,60
"83",2014-05-22,65
"84",2014-05-23,74
"85",2014-05-24,85
"86",2014-05-25,79
"87",2014-05-26,67
"88",2014-05-27,88
"89",2014-05-28,94
"90",2014-05-29,95
"91",2014-05-30,84
"92",2014-05-31,100
