"","start","Ek.Villain."
"1",2014-05-01,1
"2",2014-05-02,1
"3",2014-05-03,2
"4",2014-05-04,2
"5",2014-05-05,3
"6",2014-05-06,3
"7",2014-05-07,3
"8",2014-05-08,10
"9",2014-05-09,19
"10",2014-05-10,25
"11",2014-05-11,27
"12",2014-05-12,30
"13",2014-05-13,37
"14",2014-05-14,38
"15",2014-05-15,51
"16",2014-05-16,56
"17",2014-05-17,70
"18",2014-05-18,67
"19",2014-05-19,54
"20",2014-05-20,56
"21",2014-05-21,61
"22",2014-05-22,66
"23",2014-05-23,74
"24",2014-05-24,87
"25",2014-05-25,79
"26",2014-05-26,67
"27",2014-05-27,88
"28",2014-05-28,94
"29",2014-05-29,96
"30",2014-05-30,85
"31",2014-05-31,100
