"","start","Dhoom.3."
"1",2013-10-01,28
"2",2013-10-02,25
"3",2013-10-03,23
"4",2013-10-04,23
"5",2013-10-05,27
"6",2013-10-06,27
"7",2013-10-07,19
"8",2013-10-08,19
"9",2013-10-09,19
"10",2013-10-10,18
"11",2013-10-11,21
"12",2013-10-12,24
"13",2013-10-13,23
"14",2013-10-14,19
"15",2013-10-15,18
"16",2013-10-16,18
"17",2013-10-17,19
"18",2013-10-18,20
"19",2013-10-19,21
"20",2013-10-20,22
"21",2013-10-21,17
"22",2013-10-22,17
"23",2013-10-23,16
"24",2013-10-24,18
"25",2013-10-25,21
"26",2013-10-26,25
"27",2013-10-27,24
"28",2013-10-28,22
"29",2013-10-29,26
"30",2013-10-30,60
"31",2013-10-31,75
"32",2013-11-01,69
"33",2013-11-02,63
"34",2013-11-03,55
"35",2013-11-04,49
"36",2013-11-05,47
"37",2013-11-06,44
"38",2013-11-07,48
"39",2013-11-08,49
"40",2013-11-09,61
"41",2013-11-10,53
"42",2013-11-11,46
"43",2013-11-12,45
"44",2013-11-13,45
"45",2013-11-14,74
"46",2013-11-15,96
"47",2013-11-16,100
"48",2013-11-17,96
"49",2013-11-18,73
"50",2013-11-19,68
"51",2013-11-20,68
"52",2013-11-21,66
"53",2013-11-22,68
"54",2013-11-23,80
"55",2013-11-24,75
"56",2013-11-25,59
"57",2013-11-26,64
"58",2013-11-27,62
"59",2013-11-28,75
"60",2013-11-29,87
"61",2013-11-30,99
