"","start","Grand.Masti."
"1",2013-10-01,99
"2",2013-10-02,100
"3",2013-10-03,85
"4",2013-10-04,88
"5",2013-10-05,100
"6",2013-10-06,90
"7",2013-10-07,72
"8",2013-10-08,64
"9",2013-10-09,57
"10",2013-10-10,54
"11",2013-10-11,60
"12",2013-10-12,72
"13",2013-10-13,67
"14",2013-10-14,47
"15",2013-10-15,49
"16",2013-10-16,48
"17",2013-10-17,48
"18",2013-10-18,50
"19",2013-10-19,62
"20",2013-10-20,49
"21",2013-10-21,40
"22",2013-10-22,36
"23",2013-10-23,37
"24",2013-10-24,35
"25",2013-10-25,38
"26",2013-10-26,46
"27",2013-10-27,41
"28",2013-10-28,33
"29",2013-10-29,31
"30",2013-10-30,28
"31",2013-10-31,30
