"","start","Grand.Masti."
"1",2013-09-01,12
"2",2013-09-02,10
"3",2013-09-03,10
"4",2013-09-04,11
"5",2013-09-05,11
"6",2013-09-06,12
"7",2013-09-07,14
"8",2013-09-08,15
"9",2013-09-09,11
"10",2013-09-10,14
"11",2013-09-11,18
"12",2013-09-12,24
"13",2013-09-13,86
"14",2013-09-14,100
"15",2013-09-15,85
"16",2013-09-16,70
"17",2013-09-17,63
"18",2013-09-18,58
"19",2013-09-19,59
"20",2013-09-20,59
"21",2013-09-21,65
"22",2013-09-22,57
"23",2013-09-23,43
"24",2013-09-24,38
"25",2013-09-25,35
"26",2013-09-26,33
"27",2013-09-27,33
"28",2013-09-28,38
"29",2013-09-29,34
"30",2013-09-30,24
