"","start","Grand.Masti."
"1",2013-10-01,100
"2",2013-10-02,99
"3",2013-10-03,85
"4",2013-10-04,90
"5",2013-10-05,100
"6",2013-10-06,91
"7",2013-10-07,72
"8",2013-10-08,63
"9",2013-10-09,57
"10",2013-10-10,55
"11",2013-10-11,61
"12",2013-10-12,71
"13",2013-10-13,67
"14",2013-10-14,48
"15",2013-10-15,48
"16",2013-10-16,47
"17",2013-10-17,48
"18",2013-10-18,51
"19",2013-10-19,60
"20",2013-10-20,51
"21",2013-10-21,39
"22",2013-10-22,35
"23",2013-10-23,36
"24",2013-10-24,36
"25",2013-10-25,39
"26",2013-10-26,47
"27",2013-10-27,41
"28",2013-10-28,32
"29",2013-10-29,31
"30",2013-10-30,29
"31",2013-10-31,31
