"","start","X.Men.Days.of.Future.Past..movie."
"1",2014-07-01,67
"2",2014-07-02,74
"3",2014-07-03,76
"4",2014-07-04,78
"5",2014-07-05,100
"6",2014-07-06,100
"7",2014-07-07,63
"8",2014-07-08,63
"9",2014-07-09,65
"10",2014-07-10,61
"11",2014-07-11,65
"12",2014-07-12,88
"13",2014-07-13,82
"14",2014-07-14,59
"15",2014-07-15,53
"16",2014-07-16,53
"17",2014-07-17,47
"18",2014-07-18,63
"19",2014-07-19,79
"20",2014-07-20,78
"21",2014-07-21,50
"22",2014-07-22,44
"23",2014-07-23,51
"24",2014-07-24,46
"25",2014-07-25,56
"26",2014-07-26,78
"27",2014-07-27,82
"28",2014-07-28,51
"29",2014-07-29,47
"30",2014-07-30,58
"31",2014-07-31,58
