"","start","X.Men.Days.of.Future.Past..movie."
"1",2014-05-01,5
"2",2014-05-02,6
"3",2014-05-03,7
"4",2014-05-04,7
"5",2014-05-05,6
"6",2014-05-06,6
"7",2014-05-07,5
"8",2014-05-08,7
"9",2014-05-09,7
"10",2014-05-10,7
"11",2014-05-11,10
"12",2014-05-12,7
"13",2014-05-13,10
"14",2014-05-14,9
"15",2014-05-15,10
"16",2014-05-16,13
"17",2014-05-17,17
"18",2014-05-18,18
"19",2014-05-19,14
"20",2014-05-20,16
"21",2014-05-21,23
"22",2014-05-22,34
"23",2014-05-23,74
"24",2014-05-24,100
"25",2014-05-25,91
"26",2014-05-26,69
"27",2014-05-27,52
"28",2014-05-28,46
"29",2014-05-29,44
"30",2014-05-30,45
"31",2014-05-31,59
