"","start","Aatma."
"1",2013-04-01,100
"2",2013-04-02,77
"3",2013-04-03,74
"4",2013-04-04,72
"5",2013-04-05,66
"6",2013-04-06,80
"7",2013-04-07,71
"8",2013-04-08,45
"9",2013-04-09,41
"10",2013-04-10,49
"11",2013-04-11,48
"12",2013-04-12,47
"13",2013-04-13,62
"14",2013-04-14,51
"15",2013-04-15,35
"16",2013-04-16,33
"17",2013-04-17,33
"18",2013-04-18,40
"19",2013-04-19,42
"20",2013-04-20,48
"21",2013-04-21,46
"22",2013-04-22,31
"23",2013-04-23,32
"24",2013-04-24,32
"25",2013-04-25,27
"26",2013-04-26,32
"27",2013-04-27,34
"28",2013-04-28,33
"29",2013-04-29,28
"30",2013-04-30,22
