"","start","Aatma."
"1",2013-05-01,86
"2",2013-05-02,90
"3",2013-05-03,91
"4",2013-05-04,100
"5",2013-05-05,91
"6",2013-05-06,76
"7",2013-05-07,71
"8",2013-05-08,68
"9",2013-05-09,73
"10",2013-05-10,57
"11",2013-05-11,99
"12",2013-05-12,72
"13",2013-05-13,76
"14",2013-05-14,60
"15",2013-05-15,60
"16",2013-05-16,64
"17",2013-05-17,52
"18",2013-05-18,86
"19",2013-05-19,81
"20",2013-05-20,59
"21",2013-05-21,55
"22",2013-05-22,55
"23",2013-05-23,50
"24",2013-05-24,65
"25",2013-05-25,71
"26",2013-05-26,59
"27",2013-05-27,48
"28",2013-05-28,63
"29",2013-05-29,51
"30",2013-05-30,49
"31",2013-05-31,61
