"","start","Go.Goa.Gone."
"1",2013-06-01,100
"2",2013-06-02,89
"3",2013-06-03,63
"4",2013-06-04,55
"5",2013-06-05,54
"6",2013-06-06,52
"7",2013-06-07,55
"8",2013-06-08,69
"9",2013-06-09,67
"10",2013-06-10,47
"11",2013-06-11,38
"12",2013-06-12,41
"13",2013-06-13,41
"14",2013-06-14,50
"15",2013-06-15,62
"16",2013-06-16,60
"17",2013-06-17,39
"18",2013-06-18,40
"19",2013-06-19,38
"20",2013-06-20,36
"21",2013-06-21,40
"22",2013-06-22,51
"23",2013-06-23,51
"24",2013-06-24,32
"25",2013-06-25,33
"26",2013-06-26,32
"27",2013-06-27,31
"28",2013-06-28,36
"29",2013-06-29,44
"30",2013-06-30,43
