"","start","Go.Goa.Gone."
"1",2013-05-01,14
"2",2013-05-02,14
"3",2013-05-03,15
"4",2013-05-04,18
"5",2013-05-05,16
"6",2013-05-06,15
"7",2013-05-07,14
"8",2013-05-08,18
"9",2013-05-09,26
"10",2013-05-10,95
"11",2013-05-11,100
"12",2013-05-12,87
"13",2013-05-13,62
"14",2013-05-14,55
"15",2013-05-15,49
"16",2013-05-16,48
"17",2013-05-17,47
"18",2013-05-18,56
"19",2013-05-19,48
"20",2013-05-20,33
"21",2013-05-21,27
"22",2013-05-22,26
"23",2013-05-23,25
"24",2013-05-24,28
"25",2013-05-25,37
"26",2013-05-26,31
"27",2013-05-27,24
"28",2013-05-28,20
"29",2013-05-29,20
"30",2013-05-30,19
"31",2013-05-31,18
