"","start","Bombay.Talkies."
"1",2013-12-01,100
"2",2013-12-02,74
"3",2013-12-03,63
"4",2013-12-04,55
"5",2013-12-05,53
"6",2013-12-06,73
"7",2013-12-07,75
"8",2013-12-08,66
"9",2013-12-09,49
"10",2013-12-10,52
"11",2013-12-11,61
"12",2013-12-12,57
"13",2013-12-13,67
"14",2013-12-14,96
"15",2013-12-15,67
"16",2013-12-16,47
"17",2013-12-17,54
"18",2013-12-18,83
"19",2013-12-19,57
"20",2013-12-20,64
"21",2013-12-21,85
"22",2013-12-22,73
"23",2013-12-23,57
"24",2013-12-24,89
"25",2013-12-25,73
"26",2013-12-26,54
"27",2013-12-27,59
"28",2013-12-28,85
"29",2013-12-29,83
"30",2013-12-30,73
"31",2013-12-31,97
