"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"454","Congratulations to @smkoneru  @vamsikaka #Bahubali #Kanche idi just begining looking fwd ...",FALSE,0,NA,2016-03-28 07:13:27,FALSE,NA,"714349667232800769",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sureshvarmaz",0,FALSE,FALSE,NA,NA
"455","Proud moment for TFI. #Bahubali #NationalAwards . Congratulations SSR n Bahubali team.",FALSE,0,NA,2016-03-28 07:13:21,FALSE,NA,"714349644227043328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PraveenMarri4u",0,FALSE,FALSE,NA,NA
"456","#bahubali @BaahubaliMovie  again shows its might wins #bestmovie award in 63rd #NationalAwards .
@ssrajamouli @PrabhasRaju
#Prabhas",FALSE,0,NA,2016-03-28 07:12:41,FALSE,NA,"714349473283964928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheLogicalNews",0,FALSE,FALSE,NA,NA
"457","#Kanche deserves not #Bahubali",FALSE,0,NA,2016-03-28 07:12:17,FALSE,NA,"714349373681852416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RaghuMBBS",0,FALSE,FALSE,NA,NA
"458","If you look in that angle then award was for the most apt recipient. #NationalFilmAwards #bahubali #bestfilmaward https://t.co/b40hKXzdrw",FALSE,0,NA,2016-03-28 07:12:11,FALSE,NA,"714349347807186944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sunderlal07",0,FALSE,FALSE,NA,NA
"459","India #NationalAwards: @SrBachchan, #KanganaRanaut, #Bahubali #BajrangiBhaijaan honoured https://t.co/hCGyRTDftZ https://t.co/g5JC8kGJYo",FALSE,20,NA,2016-03-28 07:11:45,FALSE,NA,"714349241787944960",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GulfNewsTabloid",10,FALSE,FALSE,NA,NA
"460","Congratulations to @karanjohar &amp; team. #Bahubali make the best film of the year....",FALSE,0,NA,2016-03-28 07:11:01,FALSE,NA,"714349054344445952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ImRJ730",0,FALSE,FALSE,NA,NA
"461","Cngrts #Bahubali #NationalAwards @ssrajamouli @prabhas @RanaDaggubati #anushkashetty @tamannaahspeaks @PeterHeinOffl https://t.co/DqrcVd2k9a",FALSE,6,NA,2016-03-28 07:09:48,FALSE,NA,"714348748554416128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AJN_Offl",2,FALSE,FALSE,NA,NA
"462","#NationalAwards  many many congrats to @SrBachchan Nd #KanganaRanaut also #bahubali...... Awesome movie #Piku #TanuWedsManuReturns",FALSE,1,NA,2016-03-28 07:09:25,FALSE,NA,"714348653565968385",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aweepd20",0,FALSE,FALSE,NA,NA
"463","#NationalAwards Announced. Congrats #bahubali @SrBachchan @ssrajamouli @kangna_ranaut @SanjayLeelaB https://t.co/IaFfhXpY9N",FALSE,0,NA,2016-03-28 07:09:10,FALSE,NA,"714348591284748288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","piccipco",0,FALSE,FALSE,NA,NA
