"","start","Exodus.Gods.and.Kings."
"1",2015-01-01,100
"2",2015-01-02,95
"3",2015-01-03,100
"4",2015-01-04,79
"5",2015-01-05,48
"6",2015-01-06,42
"7",2015-01-07,36
"8",2015-01-08,35
"9",2015-01-09,37
"10",2015-01-10,49
"11",2015-01-11,47
"12",2015-01-12,29
"13",2015-01-13,24
"14",2015-01-14,25
"15",2015-01-15,24
"16",2015-01-16,26
"17",2015-01-17,34
"18",2015-01-18,32
"19",2015-01-19,25
"20",2015-01-20,21
"21",2015-01-21,18
"22",2015-01-22,18
"23",2015-01-23,21
"24",2015-01-24,29
"25",2015-01-25,30
"26",2015-01-26,18
"27",2015-01-27,16
"28",2015-01-28,16
"29",2015-01-29,16
"30",2015-01-30,18
"31",2015-01-31,28
