"","start","Fantastic.Four."
"1",2015-08-01,16
"2",2015-08-02,19
"3",2015-08-03,20
"4",2015-08-04,27
"5",2015-08-05,40
"6",2015-08-06,59
"7",2015-08-07,92
"8",2015-08-08,100
"9",2015-08-09,89
"10",2015-08-10,64
"11",2015-08-11,50
"12",2015-08-12,40
"13",2015-08-13,33
"14",2015-08-14,31
"15",2015-08-15,38
"16",2015-08-16,36
"17",2015-08-17,25
"18",2015-08-18,21
"19",2015-08-19,20
"20",2015-08-20,19
"21",2015-08-21,21
"22",2015-08-22,28
"23",2015-08-23,25
"24",2015-08-24,15
"25",2015-08-25,13
"26",2015-08-26,11
"27",2015-08-27,12
"28",2015-08-28,12
"29",2015-08-29,15
"30",2015-08-30,15
"31",2015-08-31,9
