"","start","Fantastic.Four."
"1",2015-09-01,50
"2",2015-09-02,51
"3",2015-09-03,48
"4",2015-09-04,54
"5",2015-09-05,70
"6",2015-09-06,72
"7",2015-09-07,57
"8",2015-09-08,41
"9",2015-09-09,37
"10",2015-09-10,69
"11",2015-09-11,78
"12",2015-09-12,100
"13",2015-09-13,97
"14",2015-09-14,60
"15",2015-09-15,51
"16",2015-09-16,51
"17",2015-09-17,46
"18",2015-09-18,53
"19",2015-09-19,67
"20",2015-09-20,64
"21",2015-09-21,43
"22",2015-09-22,37
"23",2015-09-23,37
"24",2015-09-24,37
"25",2015-09-25,39
"26",2015-09-26,54
"27",2015-09-27,54
"28",2015-09-28,31
"29",2015-09-29,27
"30",2015-09-30,26
