"","start","Jolly.LLB."
"1",2013-01-01,0
"2",2013-01-02,0
"3",2013-01-03,0
"4",2013-01-04,0
"5",2013-01-05,0
"6",2013-01-06,0
"7",2013-01-07,0
"8",2013-01-08,1
"9",2013-01-09,5
"10",2013-01-10,5
"11",2013-01-11,2
"12",2013-01-12,3
"13",2013-01-13,2
"14",2013-01-14,2
"15",2013-01-15,2
"16",2013-01-16,1
"17",2013-01-17,1
"18",2013-01-18,1
"19",2013-01-19,2
"20",2013-01-20,1
"21",2013-01-21,1
"22",2013-01-22,1
"23",2013-01-23,0
"24",2013-01-24,1
"25",2013-01-25,1
"26",2013-01-26,1
"27",2013-01-27,1
"28",2013-01-28,1
"29",2013-01-29,0
"30",2013-01-30,0
"31",2013-01-31,0
"32",2013-02-01,0
"33",2013-02-02,1
"34",2013-02-03,0
"35",2013-02-04,0
"36",2013-02-05,0
"37",2013-02-06,0
"38",2013-02-07,1
"39",2013-02-08,1
"40",2013-02-09,1
"41",2013-02-10,1
"42",2013-02-11,0
"43",2013-02-12,1
"44",2013-02-13,1
"45",2013-02-14,1
"46",2013-02-15,1
"47",2013-02-16,3
"48",2013-02-17,2
"49",2013-02-18,2
"50",2013-02-19,3
"51",2013-02-20,3
"52",2013-02-21,3
"53",2013-02-22,5
"54",2013-02-23,6
"55",2013-02-24,4
"56",2013-02-25,5
"57",2013-02-26,4
"58",2013-02-27,5
"59",2013-02-28,4
"60",2013-03-01,6
"61",2013-03-02,6
"62",2013-03-03,6
"63",2013-03-04,6
"64",2013-03-05,7
"65",2013-03-06,7
"66",2013-03-07,9
"67",2013-03-08,8
"68",2013-03-09,10
"69",2013-03-10,9
"70",2013-03-11,8
"71",2013-03-12,11
"72",2013-03-13,12
"73",2013-03-14,25
"74",2013-03-15,85
"75",2013-03-16,100
"76",2013-03-17,83
"77",2013-03-18,54
"78",2013-03-19,52
"79",2013-03-20,44
"80",2013-03-21,43
"81",2013-03-22,45
"82",2013-03-23,55
"83",2013-03-24,49
"84",2013-03-25,30
"85",2013-03-26,29
"86",2013-03-27,31
"87",2013-03-28,28
"88",2013-03-29,34
"89",2013-03-30,35
"90",2013-03-31,33
