"","start","Oblivion.movie."
"1",2013-05-01,70
"2",2013-05-02,59
"3",2013-05-03,62
"4",2013-05-04,100
"5",2013-05-05,85
"6",2013-05-06,45
"7",2013-05-07,37
"8",2013-05-08,38
"9",2013-05-09,38
"10",2013-05-10,46
"11",2013-05-11,79
"12",2013-05-12,72
"13",2013-05-13,35
"14",2013-05-14,28
"15",2013-05-15,27
"16",2013-05-16,25
"17",2013-05-17,34
"18",2013-05-18,56
"19",2013-05-19,49
"20",2013-05-20,29
"21",2013-05-21,23
"22",2013-05-22,22
"23",2013-05-23,21
"24",2013-05-24,28
"25",2013-05-25,37
"26",2013-05-26,37
"27",2013-05-27,30
"28",2013-05-28,20
"29",2013-05-29,18
"30",2013-05-30,20
"31",2013-05-31,25
