"","start","All.Is.Well."
"1",2015-08-01,41
"2",2015-08-02,43
"3",2015-08-03,37
"4",2015-08-04,35
"5",2015-08-05,38
"6",2015-08-06,38
"7",2015-08-07,41
"8",2015-08-08,48
"9",2015-08-09,50
"10",2015-08-10,38
"11",2015-08-11,39
"12",2015-08-12,39
"13",2015-08-13,39
"14",2015-08-14,41
"15",2015-08-15,48
"16",2015-08-16,55
"17",2015-08-17,44
"18",2015-08-18,42
"19",2015-08-19,41
"20",2015-08-20,47
"21",2015-08-21,82
"22",2015-08-22,100
"23",2015-08-23,87
"24",2015-08-24,59
"25",2015-08-25,54
"26",2015-08-26,53
"27",2015-08-27,48
"28",2015-08-28,49
"29",2015-08-29,55
"30",2015-08-30,53
"31",2015-08-31,36
