"","start","All.Is.Well."
"1",2015-07-01,4
"2",2015-07-02,6
"3",2015-07-03,5
"4",2015-07-04,5
"5",2015-07-05,7
"6",2015-07-06,6
"7",2015-07-07,6
"8",2015-07-08,6
"9",2015-07-09,12
"10",2015-07-10,13
"11",2015-07-11,19
"12",2015-07-12,23
"13",2015-07-13,22
"14",2015-07-14,23
"15",2015-07-15,25
"16",2015-07-16,30
"17",2015-07-17,32
"18",2015-07-18,37
"19",2015-07-19,35
"20",2015-07-20,30
"21",2015-07-21,30
"22",2015-07-22,30
"23",2015-07-23,30
"24",2015-07-24,31
"25",2015-07-25,35
"26",2015-07-26,36
"27",2015-07-27,27
"28",2015-07-28,28
"29",2015-07-29,31
"30",2015-07-30,31
"31",2015-07-31,35
"32",2015-08-01,40
"33",2015-08-02,42
"34",2015-08-03,36
"35",2015-08-04,35
"36",2015-08-05,37
"37",2015-08-06,38
"38",2015-08-07,40
"39",2015-08-08,48
"40",2015-08-09,49
"41",2015-08-10,37
"42",2015-08-11,38
"43",2015-08-12,38
"44",2015-08-13,39
"45",2015-08-14,40
"46",2015-08-15,47
"47",2015-08-16,53
"48",2015-08-17,42
"49",2015-08-18,41
"50",2015-08-19,41
"51",2015-08-20,46
"52",2015-08-21,80
"53",2015-08-22,100
"54",2015-08-23,86
"55",2015-08-24,57
"56",2015-08-25,53
"57",2015-08-26,52
"58",2015-08-27,47
"59",2015-08-28,48
"60",2015-08-29,54
"61",2015-08-30,52
"62",2015-08-31,36
