"","start","Alone."
"1",2015-01-01,72
"2",2015-01-02,65
"3",2015-01-03,63
"4",2015-01-04,62
"5",2015-01-05,50
"6",2015-01-06,48
"7",2015-01-07,49
"8",2015-01-08,46
"9",2015-01-09,48
"10",2015-01-10,56
"11",2015-01-11,55
"12",2015-01-12,47
"13",2015-01-13,47
"14",2015-01-14,50
"15",2015-01-15,54
"16",2015-01-16,85
"17",2015-01-17,100
"18",2015-01-18,90
"19",2015-01-19,71
"20",2015-01-20,66
"21",2015-01-21,63
"22",2015-01-22,63
"23",2015-01-23,62
"24",2015-01-24,71
"25",2015-01-25,71
"26",2015-01-26,51
"27",2015-01-27,49
"28",2015-01-28,49
"29",2015-01-29,48
"30",2015-01-30,49
"31",2015-01-31,56
