"","start","Alone."
"1",2015-02-01,100
"2",2015-02-02,79
"3",2015-02-03,79
"4",2015-02-04,79
"5",2015-02-05,78
"6",2015-02-06,81
"7",2015-02-07,89
"8",2015-02-08,89
"9",2015-02-09,72
"10",2015-02-10,74
"11",2015-02-11,74
"12",2015-02-12,75
"13",2015-02-13,82
"14",2015-02-14,100
"15",2015-02-15,89
"16",2015-02-16,77
"17",2015-02-17,78
"18",2015-02-18,73
"19",2015-02-19,72
"20",2015-02-20,75
"21",2015-02-21,82
"22",2015-02-22,85
"23",2015-02-23,71
"24",2015-02-24,68
"25",2015-02-25,69
"26",2015-02-26,69
"27",2015-02-27,70
"28",2015-02-28,79
