"","start","Bhopal.A.Prayer.For.Rain."
"1",2014-09-01,0
"2",2014-09-02,7
"3",2014-09-03,7
"4",2014-09-04,7
"5",2014-09-05,8
"6",2014-09-06,18
"7",2014-09-07,9
"8",2014-09-08,7
"9",2014-09-09,15
"10",2014-09-10,7
"11",2014-09-11,15
"12",2014-09-12,12
"13",2014-09-13,9
"14",2014-09-14,9
"15",2014-09-15,15
"16",2014-09-16,15
"17",2014-09-17,15
"18",2014-09-18,79
"19",2014-09-19,28
"20",2014-09-20,47
"21",2014-09-21,32
"22",2014-09-22,20
"23",2014-09-23,18
"24",2014-09-24,22
"25",2014-09-25,25
"26",2014-09-26,23
"27",2014-09-27,18
"28",2014-09-28,13
"29",2014-09-29,11
"30",2014-09-30,11
"31",2014-10-01,11
"32",2014-10-02,8
"33",2014-10-03,8
"34",2014-10-04,14
"35",2014-10-05,18
"36",2014-10-06,11
"37",2014-10-07,15
"38",2014-10-08,15
"39",2014-10-09,23
"40",2014-10-10,12
"41",2014-10-11,9
"42",2014-10-12,14
"43",2014-10-13,17
"44",2014-10-14,14
"45",2014-10-15,14
"46",2014-10-16,11
"47",2014-10-17,11
"48",2014-10-18,20
"49",2014-10-19,9
"50",2014-10-20,11
"51",2014-10-21,24
"52",2014-10-22,14
"53",2014-10-23,22
"54",2014-10-24,18
"55",2014-10-25,13
"56",2014-10-26,9
"57",2014-10-27,11
"58",2014-10-28,24
"59",2014-10-29,10
"60",2014-10-30,10
"61",2014-10-31,59
"62",2014-11-01,47
"63",2014-11-02,28
"64",2014-11-03,24
"65",2014-11-04,12
"66",2014-11-05,11
"67",2014-11-06,29
"68",2014-11-07,55
"69",2014-11-08,57
"70",2014-11-09,30
"71",2014-11-10,31
"72",2014-11-11,17
"73",2014-11-12,14
"74",2014-11-13,31
"75",2014-11-14,15
"76",2014-11-15,21
"77",2014-11-16,36
"78",2014-11-17,23
"79",2014-11-18,18
"80",2014-11-19,20
"81",2014-11-20,26
"82",2014-11-21,47
"83",2014-11-22,56
"84",2014-11-23,69
"85",2014-11-24,63
"86",2014-11-25,54
"87",2014-11-26,74
"88",2014-11-27,77
"89",2014-11-28,82
"90",2014-11-29,100
"91",2014-11-30,84
