"","start","Mr..X."
"1",2015-03-01,1
"2",2015-03-02,2
"3",2015-03-03,1
"4",2015-03-04,2
"5",2015-03-05,8
"6",2015-03-06,7
"7",2015-03-07,7
"8",2015-03-08,6
"9",2015-03-09,6
"10",2015-03-10,5
"11",2015-03-11,5
"12",2015-03-12,6
"13",2015-03-13,5
"14",2015-03-14,6
"15",2015-03-15,12
"16",2015-03-16,19
"17",2015-03-17,18
"18",2015-03-18,18
"19",2015-03-19,17
"20",2015-03-20,22
"21",2015-03-21,31
"22",2015-03-22,25
"23",2015-03-23,22
"24",2015-03-24,21
"25",2015-03-25,26
"26",2015-03-26,20
"27",2015-03-27,27
"28",2015-03-28,35
"29",2015-03-29,28
"30",2015-03-30,29
"31",2015-03-31,24
"32",2015-04-01,26
"33",2015-04-02,31
"34",2015-04-03,31
"35",2015-04-04,31
"36",2015-04-05,28
"37",2015-04-06,25
"38",2015-04-07,23
"39",2015-04-08,22
"40",2015-04-09,23
"41",2015-04-10,25
"42",2015-04-11,32
"43",2015-04-12,37
"44",2015-04-13,32
"45",2015-04-14,31
"46",2015-04-15,32
"47",2015-04-16,33
"48",2015-04-17,74
"49",2015-04-18,100
"50",2015-04-19,74
"51",2015-04-20,57
"52",2015-04-21,51
"53",2015-04-22,45
"54",2015-04-23,45
"55",2015-04-24,44
"56",2015-04-25,39
"57",2015-04-26,38
"58",2015-04-27,31
"59",2015-04-28,25
"60",2015-04-29,25
"61",2015-04-30,27
