"","start","Mr..X."
"1",2015-04-01,26
"2",2015-04-02,28
"3",2015-04-03,30
"4",2015-04-04,30
"5",2015-04-05,28
"6",2015-04-06,25
"7",2015-04-07,23
"8",2015-04-08,22
"9",2015-04-09,22
"10",2015-04-10,24
"11",2015-04-11,30
"12",2015-04-12,38
"13",2015-04-13,30
"14",2015-04-14,32
"15",2015-04-15,31
"16",2015-04-16,33
"17",2015-04-17,73
"18",2015-04-18,100
"19",2015-04-19,75
"20",2015-04-20,56
"21",2015-04-21,49
"22",2015-04-22,42
"23",2015-04-23,44
"24",2015-04-24,43
"25",2015-04-25,42
"26",2015-04-26,37
"27",2015-04-27,31
"28",2015-04-28,26
"29",2015-04-29,24
"30",2015-04-30,28
