"","start","Dedh.Ishqiya."
"1",2013-11-01,5
"2",2013-11-02,6
"3",2013-11-03,8
"4",2013-11-04,12
"5",2013-11-05,17
"6",2013-11-06,26
"7",2013-11-07,19
"8",2013-11-08,69
"9",2013-11-09,76
"10",2013-11-10,51
"11",2013-11-11,48
"12",2013-11-12,31
"13",2013-11-13,24
"14",2013-11-14,20
"15",2013-11-15,15
"16",2013-11-16,14
"17",2013-11-17,14
"18",2013-11-18,13
"19",2013-11-19,11
"20",2013-11-20,8
"21",2013-11-21,9
"22",2013-11-22,9
"23",2013-11-23,14
"24",2013-11-24,9
"25",2013-11-25,21
"26",2013-11-26,29
"27",2013-11-27,27
"28",2013-11-28,17
"29",2013-11-29,21
"30",2013-11-30,19
"31",2013-12-01,20
"32",2013-12-02,21
"33",2013-12-03,26
"34",2013-12-04,22
"35",2013-12-05,21
"36",2013-12-06,21
"37",2013-12-07,23
"38",2013-12-08,65
"39",2013-12-09,77
"40",2013-12-10,62
"41",2013-12-11,54
"42",2013-12-12,57
"43",2013-12-13,60
"44",2013-12-14,77
"45",2013-12-15,91
"46",2013-12-16,71
"47",2013-12-17,58
"48",2013-12-18,85
"49",2013-12-19,85
"50",2013-12-20,83
"51",2013-12-21,100
"52",2013-12-22,81
"53",2013-12-23,82
"54",2013-12-24,85
"55",2013-12-25,88
"56",2013-12-26,86
"57",2013-12-27,84
"58",2013-12-28,82
"59",2013-12-29,86
"60",2013-12-30,87
"61",2013-12-31,79
