"","start","Dedh.Ishqiya."
"1",2014-02-01,100
"2",2014-02-02,89
"3",2014-02-03,56
"4",2014-02-04,51
"5",2014-02-05,50
"6",2014-02-06,33
"7",2014-02-07,51
"8",2014-02-08,68
"9",2014-02-09,55
"10",2014-02-10,36
"11",2014-02-11,36
"12",2014-02-12,30
"13",2014-02-13,36
"14",2014-02-14,37
"15",2014-02-15,57
"16",2014-02-16,46
"17",2014-02-17,29
"18",2014-02-18,29
"19",2014-02-19,43
"20",2014-02-20,31
"21",2014-02-21,38
"22",2014-02-22,43
"23",2014-02-23,33
"24",2014-02-24,40
"25",2014-02-25,39
"26",2014-02-26,23
"27",2014-02-27,24
"28",2014-02-28,25
