"","start","Chennai.Express."
"1",2013-08-01,12
"2",2013-08-02,13
"3",2013-08-03,19
"4",2013-08-04,20
"5",2013-08-05,15
"6",2013-08-06,16
"7",2013-08-07,20
"8",2013-08-08,41
"9",2013-08-09,89
"10",2013-08-10,100
"11",2013-08-11,85
"12",2013-08-12,65
"13",2013-08-13,55
"14",2013-08-14,53
"15",2013-08-15,53
"16",2013-08-16,49
"17",2013-08-17,55
"18",2013-08-18,52
"19",2013-08-19,37
"20",2013-08-20,37
"21",2013-08-21,34
"22",2013-08-22,33
"23",2013-08-23,36
"24",2013-08-24,45
"25",2013-08-25,40
"26",2013-08-26,27
"27",2013-08-27,24
"28",2013-08-28,24
"29",2013-08-29,22
"30",2013-08-30,23
"31",2013-08-31,27
