"","start","Chennai.Express."
"1",2013-06-01,1
"2",2013-06-02,1
"3",2013-06-03,1
"4",2013-06-04,1
"5",2013-06-05,1
"6",2013-06-06,1
"7",2013-06-07,1
"8",2013-06-08,2
"9",2013-06-09,1
"10",2013-06-10,1
"11",2013-06-11,1
"12",2013-06-12,2
"13",2013-06-13,8
"14",2013-06-14,9
"15",2013-06-15,7
"16",2013-06-16,6
"17",2013-06-17,5
"18",2013-06-18,5
"19",2013-06-19,5
"20",2013-06-20,5
"21",2013-06-21,7
"22",2013-06-22,7
"23",2013-06-23,6
"24",2013-06-24,5
"25",2013-06-25,5
"26",2013-06-26,5
"27",2013-06-27,5
"28",2013-06-28,6
"29",2013-06-29,7
"30",2013-06-30,7
"31",2013-07-01,7
"32",2013-07-02,7
"33",2013-07-03,7
"34",2013-07-04,7
"35",2013-07-05,8
"36",2013-07-06,10
"37",2013-07-07,11
"38",2013-07-08,7
"39",2013-07-09,6
"40",2013-07-10,6
"41",2013-07-11,6
"42",2013-07-12,6
"43",2013-07-13,8
"44",2013-07-14,7
"45",2013-07-15,5
"46",2013-07-16,5
"47",2013-07-17,5
"48",2013-07-18,6
"49",2013-07-19,6
"50",2013-07-20,7
"51",2013-07-21,7
"52",2013-07-22,5
"53",2013-07-23,5
"54",2013-07-24,6
"55",2013-07-25,6
"56",2013-07-26,7
"57",2013-07-27,9
"58",2013-07-28,9
"59",2013-07-29,7
"60",2013-07-30,8
"61",2013-07-31,10
"62",2013-08-01,11
"63",2013-08-02,13
"64",2013-08-03,18
"65",2013-08-04,19
"66",2013-08-05,15
"67",2013-08-06,17
"68",2013-08-07,19
"69",2013-08-08,41
"70",2013-08-09,89
"71",2013-08-10,100
"72",2013-08-11,84
"73",2013-08-12,65
"74",2013-08-13,55
"75",2013-08-14,52
"76",2013-08-15,54
"77",2013-08-16,50
"78",2013-08-17,55
"79",2013-08-18,54
"80",2013-08-19,38
"81",2013-08-20,37
"82",2013-08-21,35
"83",2013-08-22,34
"84",2013-08-23,36
"85",2013-08-24,45
"86",2013-08-25,40
"87",2013-08-26,27
"88",2013-08-27,24
"89",2013-08-28,25
"90",2013-08-29,22
"91",2013-08-30,23
"92",2013-08-31,27
