"","start","Piku.movie."
"1",2015-06-01,71
"2",2015-06-02,63
"3",2015-06-03,64
"4",2015-06-04,72
"5",2015-06-05,77
"6",2015-06-06,100
"7",2015-06-07,91
"8",2015-06-08,53
"9",2015-06-09,54
"10",2015-06-10,49
"11",2015-06-11,52
"12",2015-06-12,59
"13",2015-06-13,80
"14",2015-06-14,71
"15",2015-06-15,37
"16",2015-06-16,39
"17",2015-06-17,36
"18",2015-06-18,36
"19",2015-06-19,41
"20",2015-06-20,55
"21",2015-06-21,50
"22",2015-06-22,31
"23",2015-06-23,28
"24",2015-06-24,30
"25",2015-06-25,29
"26",2015-06-26,34
"27",2015-06-27,51
"28",2015-06-28,45
"29",2015-06-29,27
"30",2015-06-30,26
