"","start","Kai.Po.Che."
"1",2013-03-01,86
"2",2013-03-02,100
"3",2013-03-03,79
"4",2013-03-04,53
"5",2013-03-05,43
"6",2013-03-06,41
"7",2013-03-07,38
"8",2013-03-08,37
"9",2013-03-09,51
"10",2013-03-10,44
"11",2013-03-11,29
"12",2013-03-12,25
"13",2013-03-13,25
"14",2013-03-14,23
"15",2013-03-15,26
"16",2013-03-16,33
"17",2013-03-17,30
"18",2013-03-18,19
"19",2013-03-19,18
"20",2013-03-20,19
"21",2013-03-21,20
"22",2013-03-22,20
"23",2013-03-23,28
"24",2013-03-24,23
"25",2013-03-25,18
"26",2013-03-26,18
"27",2013-03-27,20
"28",2013-03-28,18
"29",2013-03-29,20
"30",2013-03-30,23
"31",2013-03-31,20
