"","start","Kai.Po.Che."
"1",2013-02-01,9
"2",2013-02-02,10
"3",2013-02-03,9
"4",2013-02-04,7
"5",2013-02-05,7
"6",2013-02-06,8
"7",2013-02-07,8
"8",2013-02-08,9
"9",2013-02-09,9
"10",2013-02-10,8
"11",2013-02-11,8
"12",2013-02-12,8
"13",2013-02-13,8
"14",2013-02-14,8
"15",2013-02-15,10
"16",2013-02-16,13
"17",2013-02-17,13
"18",2013-02-18,12
"19",2013-02-19,18
"20",2013-02-20,24
"21",2013-02-21,33
"22",2013-02-22,94
"23",2013-02-23,100
"24",2013-02-24,89
"25",2013-02-25,60
"26",2013-02-26,49
"27",2013-02-27,48
"28",2013-02-28,44
