"","start","Highway."
"1",2014-02-01,41
"2",2014-02-02,39
"3",2014-02-03,39
"4",2014-02-04,38
"5",2014-02-05,42
"6",2014-02-06,35
"7",2014-02-07,42
"8",2014-02-08,42
"9",2014-02-09,41
"10",2014-02-10,42
"11",2014-02-11,41
"12",2014-02-12,42
"13",2014-02-13,44
"14",2014-02-14,45
"15",2014-02-15,44
"16",2014-02-16,45
"17",2014-02-17,46
"18",2014-02-18,44
"19",2014-02-19,47
"20",2014-02-20,53
"21",2014-02-21,89
"22",2014-02-22,100
"23",2014-02-23,89
"24",2014-02-24,74
"25",2014-02-25,64
"26",2014-02-26,61
"27",2014-02-27,64
"28",2014-02-28,63
