"","start","Highway."
"1",2014-01-01,76
"2",2014-01-02,82
"3",2014-01-03,94
"4",2014-01-04,80
"5",2014-01-05,76
"6",2014-01-06,87
"7",2014-01-07,81
"8",2014-01-08,80
"9",2014-01-09,75
"10",2014-01-10,77
"11",2014-01-11,77
"12",2014-01-12,69
"13",2014-01-13,74
"14",2014-01-14,73
"15",2014-01-15,74
"16",2014-01-16,81
"17",2014-01-17,89
"18",2014-01-18,80
"19",2014-01-19,75
"20",2014-01-20,80
"21",2014-01-21,82
"22",2014-01-22,86
"23",2014-01-23,83
"24",2014-01-24,98
"25",2014-01-25,96
"26",2014-01-26,91
"27",2014-01-27,91
"28",2014-01-28,86
"29",2014-01-29,100
"30",2014-01-30,90
"31",2014-01-31,89
