"","start","Yeh.Jawaani.Hai.Deewani.movie."
"1",2013-08-01,52
"2",2013-08-02,62
"3",2013-08-03,84
"4",2013-08-04,78
"5",2013-08-05,45
"6",2013-08-06,47
"7",2013-08-07,50
"8",2013-08-08,53
"9",2013-08-09,66
"10",2013-08-10,100
"11",2013-08-11,86
"12",2013-08-12,55
"13",2013-08-13,55
"14",2013-08-14,46
"15",2013-08-15,59
"16",2013-08-16,70
"17",2013-08-17,91
"18",2013-08-18,81
"19",2013-08-19,56
"20",2013-08-20,57
"21",2013-08-21,49
"22",2013-08-22,59
"23",2013-08-23,54
"24",2013-08-24,96
"25",2013-08-25,78
"26",2013-08-26,43
"27",2013-08-27,50
"28",2013-08-28,56
"29",2013-08-29,48
"30",2013-08-30,66
"31",2013-08-31,75
