"","start","Dolly.Ki.Doli."
"1",2015-03-01,100
"2",2015-03-02,69
"3",2015-03-03,60
"4",2015-03-04,53
"5",2015-03-05,58
"6",2015-03-06,54
"7",2015-03-07,85
"8",2015-03-08,80
"9",2015-03-09,53
"10",2015-03-10,51
"11",2015-03-11,56
"12",2015-03-12,54
"13",2015-03-13,65
"14",2015-03-14,81
"15",2015-03-15,69
"16",2015-03-16,55
"17",2015-03-17,45
"18",2015-03-18,50
"19",2015-03-19,43
"20",2015-03-20,55
"21",2015-03-21,64
"22",2015-03-22,61
"23",2015-03-23,45
"24",2015-03-24,40
"25",2015-03-25,60
"26",2015-03-26,44
"27",2015-03-27,48
"28",2015-03-28,76
"29",2015-03-29,93
"30",2015-03-30,69
"31",2015-03-31,67
