"","start","Dolly.Ki.Doli."
"1",2015-02-01,100
"2",2015-02-02,67
"3",2015-02-03,57
"4",2015-02-04,56
"5",2015-02-05,55
"6",2015-02-06,58
"7",2015-02-07,74
"8",2015-02-08,57
"9",2015-02-09,34
"10",2015-02-10,30
"11",2015-02-11,31
"12",2015-02-12,33
"13",2015-02-13,34
"14",2015-02-14,36
"15",2015-02-15,33
"16",2015-02-16,27
"17",2015-02-17,25
"18",2015-02-18,26
"19",2015-02-19,24
"20",2015-02-20,24
"21",2015-02-21,28
"22",2015-02-22,23
"23",2015-02-23,16
"24",2015-02-24,15
"25",2015-02-25,14
"26",2015-02-26,16
"27",2015-02-27,18
"28",2015-02-28,24
