"","start","Dolly.Ki.Doli."
"1",2014-12-01,1
"2",2014-12-02,0
"3",2014-12-03,1
"4",2014-12-04,0
"5",2014-12-05,1
"6",2014-12-06,1
"7",2014-12-07,1
"8",2014-12-08,3
"9",2014-12-09,1
"10",2014-12-10,1
"11",2014-12-11,1
"12",2014-12-12,10
"13",2014-12-13,10
"14",2014-12-14,9
"15",2014-12-15,5
"16",2014-12-16,3
"17",2014-12-17,2
"18",2014-12-18,3
"19",2014-12-19,3
"20",2014-12-20,4
"21",2014-12-21,5
"22",2014-12-22,4
"23",2014-12-23,6
"24",2014-12-24,7
"25",2014-12-25,8
"26",2014-12-26,7
"27",2014-12-27,7
"28",2014-12-28,7
"29",2014-12-29,6
"30",2014-12-30,6
"31",2014-12-31,7
"32",2015-01-01,7
"33",2015-01-02,8
"34",2015-01-03,9
"35",2015-01-04,8
"36",2015-01-05,8
"37",2015-01-06,8
"38",2015-01-07,8
"39",2015-01-08,7
"40",2015-01-09,9
"41",2015-01-10,11
"42",2015-01-11,11
"43",2015-01-12,8
"44",2015-01-13,9
"45",2015-01-14,10
"46",2015-01-15,11
"47",2015-01-16,11
"48",2015-01-17,15
"49",2015-01-18,23
"50",2015-01-19,16
"51",2015-01-20,17
"52",2015-01-21,18
"53",2015-01-22,28
"54",2015-01-23,76
"55",2015-01-24,100
"56",2015-01-25,84
"57",2015-01-26,53
"58",2015-01-27,49
"59",2015-01-28,40
"60",2015-01-29,37
"61",2015-01-30,34
"62",2015-01-31,42
