"","start","Bhoot.Returns."
"1",2012-11-01,72
"2",2012-11-02,71
"3",2012-11-03,100
"4",2012-11-04,83
"5",2012-11-05,52
"6",2012-11-06,39
"7",2012-11-07,38
"8",2012-11-08,45
"9",2012-11-09,56
"10",2012-11-10,68
"11",2012-11-11,55
"12",2012-11-12,37
"13",2012-11-13,33
"14",2012-11-14,36
"15",2012-11-15,27
"16",2012-11-16,35
"17",2012-11-17,61
"18",2012-11-18,47
"19",2012-11-19,29
"20",2012-11-20,29
"21",2012-11-21,26
"22",2012-11-22,28
"23",2012-11-23,34
"24",2012-11-24,51
"25",2012-11-25,35
"26",2012-11-26,21
"27",2012-11-27,25
"28",2012-11-28,24
"29",2012-11-29,31
"30",2012-11-30,32
