"","start","Kingsman.The.Secret.Service."
"1",2015-07-01,45
"2",2015-07-02,52
"3",2015-07-03,57
"4",2015-07-04,81
"5",2015-07-05,76
"6",2015-07-06,56
"7",2015-07-07,49
"8",2015-07-08,67
"9",2015-07-09,58
"10",2015-07-10,66
"11",2015-07-11,92
"12",2015-07-12,100
"13",2015-07-13,64
"14",2015-07-14,50
"15",2015-07-15,45
"16",2015-07-16,44
"17",2015-07-17,47
"18",2015-07-18,74
"19",2015-07-19,84
"20",2015-07-20,53
"21",2015-07-21,43
"22",2015-07-22,40
"23",2015-07-23,41
"24",2015-07-24,46
"25",2015-07-25,69
"26",2015-07-26,73
"27",2015-07-27,48
"28",2015-07-28,41
"29",2015-07-29,34
"30",2015-07-30,34
"31",2015-07-31,39
