"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Watching the movie Family and enjoying cocktails.#cocktail lovers #FamilyTherapy #movies",FALSE,0,NA,2016-04-07 18:57:04,FALSE,NA,"718150618779684865",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","StirrerShaker",0,FALSE,FALSE,NA,NA
"2","DIY Popcorn &amp; Candy Bar + #Cocktail = perfect Movie Night #ad https://t.co/4ORSGeUPbe @worldmarket #worldmarkettribe https://t.co/6xYSFbDlj1",FALSE,2,NA,2016-04-07 17:46:00,FALSE,NA,"718132733474680832",NA,"<a href=""http://meetedgar.com"" rel=""nofollow"">Meet Edgar</a>","pnkheelspnktrk",0,FALSE,FALSE,NA,NA
"3","Yes, I want them in a movie again! <ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B2><U+0095> #Cocktail #Gautam #Veronica https://t.co/0Pu4P2A4EW",FALSE,4,"DPsDictionary",2016-04-06 19:21:35,FALSE,"717793441841696768","717794401091588096","1225276706","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DPsDictionary",8,FALSE,FALSE,NA,NA
"4","Now #cocktail movie <ed><U+00A0><U+00BC><ed><U+00BE><U+00AC><ed><U+00A0><U+00BD><ed><U+00B2><U+0083><U+2665>",FALSE,0,NA,2016-04-06 19:05:40,FALSE,NA,"717790393987891201",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NanoshaAllam",0,FALSE,FALSE,NA,NA
"5","#Cocktail movie is Love <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+009D><ed><U+00A0><U+00BD><ed><U+00B8><U+0084> https://t.co/JjvyNPkmKT",FALSE,3,"DPsDictionary",2016-04-04 14:58:40,FALSE,"716998809147084800","717003457237032960","1225276706","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DPsDictionary",9,FALSE,FALSE,NA,NA
"6","A #Movie #Cocktail tribute to #AnAffairToRemember.
An #APERITIF To REMEMBER:
https://t.co/GJzjI0UnFm https://t.co/iOITDzPWN9",FALSE,1,NA,2016-04-02 21:35:02,FALSE,NA,"716378431194271747",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","TheMartiniDiva",1,FALSE,FALSE,NA,NA
