"","start","Murder.3."
"1",2013-02-01,33
"2",2013-02-02,37
"3",2013-02-03,32
"4",2013-02-04,27
"5",2013-02-05,26
"6",2013-02-06,23
"7",2013-02-07,22
"8",2013-02-08,24
"9",2013-02-09,29
"10",2013-02-10,29
"11",2013-02-11,25
"12",2013-02-12,26
"13",2013-02-13,28
"14",2013-02-14,36
"15",2013-02-15,85
"16",2013-02-16,100
"17",2013-02-17,85
"18",2013-02-18,58
"19",2013-02-19,53
"20",2013-02-20,48
"21",2013-02-21,44
"22",2013-02-22,40
"23",2013-02-23,46
"24",2013-02-24,38
"25",2013-02-25,30
"26",2013-02-26,26
"27",2013-02-27,25
"28",2013-02-28,25
