"","start","Murder.3."
"1",2013-01-01,6
"2",2013-01-02,4
"3",2013-01-03,4
"4",2013-01-04,4
"5",2013-01-05,5
"6",2013-01-06,5
"7",2013-01-07,11
"8",2013-01-08,24
"9",2013-01-09,26
"10",2013-01-10,22
"11",2013-01-11,20
"12",2013-01-12,24
"13",2013-01-13,24
"14",2013-01-14,21
"15",2013-01-15,20
"16",2013-01-16,21
"17",2013-01-17,24
"18",2013-01-18,27
"19",2013-01-19,32
"20",2013-01-20,30
"21",2013-01-21,28
"22",2013-01-22,30
"23",2013-01-23,28
"24",2013-01-24,31
"25",2013-01-25,36
"26",2013-01-26,37
"27",2013-01-27,37
"28",2013-01-28,31
"29",2013-01-29,32
"30",2013-01-30,32
"31",2013-01-31,33
"32",2013-02-01,33
"33",2013-02-02,36
"34",2013-02-03,33
"35",2013-02-04,26
"36",2013-02-05,26
"37",2013-02-06,23
"38",2013-02-07,23
"39",2013-02-08,24
"40",2013-02-09,29
"41",2013-02-10,30
"42",2013-02-11,25
"43",2013-02-12,27
"44",2013-02-13,28
"45",2013-02-14,35
"46",2013-02-15,81
"47",2013-02-16,100
"48",2013-02-17,85
"49",2013-02-18,55
"50",2013-02-19,51
"51",2013-02-20,47
"52",2013-02-21,44
"53",2013-02-22,40
"54",2013-02-23,45
"55",2013-02-24,38
"56",2013-02-25,30
"57",2013-02-26,26
"58",2013-02-27,25
"59",2013-02-28,26
