"","start","Queen.movie."
"1",2013-12-01,55
"2",2013-12-02,39
"3",2013-12-03,29
"4",2013-12-04,35
"5",2013-12-05,35
"6",2013-12-06,41
"7",2013-12-07,58
"8",2013-12-08,50
"9",2013-12-09,34
"10",2013-12-10,37
"11",2013-12-11,37
"12",2013-12-12,37
"13",2013-12-13,42
"14",2013-12-14,56
"15",2013-12-15,50
"16",2013-12-16,40
"17",2013-12-17,37
"18",2013-12-18,35
"19",2013-12-19,38
"20",2013-12-20,41
"21",2013-12-21,51
"22",2013-12-22,63
"23",2013-12-23,56
"24",2013-12-24,59
"25",2013-12-25,87
"26",2013-12-26,66
"27",2013-12-27,66
"28",2013-12-28,60
"29",2013-12-29,77
"30",2013-12-30,57
"31",2013-12-31,57
"32",2014-01-01,66
"33",2014-01-02,57
"34",2014-01-03,84
"35",2014-01-04,68
"36",2014-01-05,67
"37",2014-01-06,49
"38",2014-01-07,46
"39",2014-01-08,51
"40",2014-01-09,50
"41",2014-01-10,49
"42",2014-01-11,63
"43",2014-01-12,74
"44",2014-01-13,62
"45",2014-01-14,56
"46",2014-01-15,54
"47",2014-01-16,64
"48",2014-01-17,63
"49",2014-01-18,100
"50",2014-01-19,79
"51",2014-01-20,55
"52",2014-01-21,56
"53",2014-01-22,54
"54",2014-01-23,58
"55",2014-01-24,65
"56",2014-01-25,76
"57",2014-01-26,74
"58",2014-01-27,62
"59",2014-01-28,53
"60",2014-01-29,63
"61",2014-01-30,60
"62",2014-01-31,75
"63",2014-02-01,82
"64",2014-02-02,86
"65",2014-02-03,59
"66",2014-02-04,61
"67",2014-02-05,63
"68",2014-02-06,46
"69",2014-02-07,62
"70",2014-02-08,76
"71",2014-02-09,77
"72",2014-02-10,63
"73",2014-02-11,52
"74",2014-02-12,55
"75",2014-02-13,54
"76",2014-02-14,61
"77",2014-02-15,85
"78",2014-02-16,84
"79",2014-02-17,62
"80",2014-02-18,62
"81",2014-02-19,63
"82",2014-02-20,64
"83",2014-02-21,72
"84",2014-02-22,93
"85",2014-02-23,94
"86",2014-02-24,65
"87",2014-02-25,68
"88",2014-02-26,67
"89",2014-02-27,73
"90",2014-02-28,89
