"","start","Queen.movie."
"1",2014-03-01,15
"2",2014-03-02,15
"3",2014-03-03,12
"4",2014-03-04,14
"5",2014-03-05,14
"6",2014-03-06,23
"7",2014-03-07,60
"8",2014-03-08,86
"9",2014-03-09,100
"10",2014-03-10,75
"11",2014-03-11,71
"12",2014-03-12,67
"13",2014-03-13,69
"14",2014-03-14,77
"15",2014-03-15,98
"16",2014-03-16,90
"17",2014-03-17,61
"18",2014-03-18,57
"19",2014-03-19,52
"20",2014-03-20,53
"21",2014-03-21,59
"22",2014-03-22,80
"23",2014-03-23,70
"24",2014-03-24,46
"25",2014-03-25,42
"26",2014-03-26,40
"27",2014-03-27,43
"28",2014-03-28,47
"29",2014-03-29,61
"30",2014-03-30,53
"31",2014-03-31,35
