"","start","The.Xpose.movie."
"1",2014-04-01,1
"2",2014-04-02,1
"3",2014-04-03,14
"4",2014-04-04,32
"5",2014-04-05,35
"6",2014-04-06,33
"7",2014-04-07,34
"8",2014-04-08,37
"9",2014-04-09,37
"10",2014-04-10,44
"11",2014-04-11,44
"12",2014-04-12,58
"13",2014-04-13,51
"14",2014-04-14,45
"15",2014-04-15,37
"16",2014-04-16,37
"17",2014-04-17,38
"18",2014-04-18,42
"19",2014-04-19,46
"20",2014-04-20,38
"21",2014-04-21,37
"22",2014-04-22,35
"23",2014-04-23,31
"24",2014-04-24,33
"25",2014-04-25,33
"26",2014-04-26,41
"27",2014-04-27,40
"28",2014-04-28,29
"29",2014-04-29,35
"30",2014-04-30,34
"31",2014-05-01,35
"32",2014-05-02,33
"33",2014-05-03,38
"34",2014-05-04,42
"35",2014-05-05,37
"36",2014-05-06,35
"37",2014-05-07,33
"38",2014-05-08,38
"39",2014-05-09,36
"40",2014-05-10,44
"41",2014-05-11,39
"42",2014-05-12,33
"43",2014-05-13,36
"44",2014-05-14,36
"45",2014-05-15,40
"46",2014-05-16,76
"47",2014-05-17,100
"48",2014-05-18,83
"49",2014-05-19,61
"50",2014-05-20,53
"51",2014-05-21,52
"52",2014-05-22,52
"53",2014-05-23,53
"54",2014-05-24,58
"55",2014-05-25,51
"56",2014-05-26,39
"57",2014-05-27,39
"58",2014-05-28,34
"59",2014-05-29,36
"60",2014-05-30,32
"61",2014-05-31,38
