"","start","The.Xpose.movie."
"1",2014-05-01,36
"2",2014-05-02,34
"3",2014-05-03,42
"4",2014-05-04,45
"5",2014-05-05,40
"6",2014-05-06,36
"7",2014-05-07,35
"8",2014-05-08,39
"9",2014-05-09,36
"10",2014-05-10,46
"11",2014-05-11,43
"12",2014-05-12,37
"13",2014-05-13,36
"14",2014-05-14,36
"15",2014-05-15,42
"16",2014-05-16,81
"17",2014-05-17,100
"18",2014-05-18,84
"19",2014-05-19,63
"20",2014-05-20,58
"21",2014-05-21,55
"22",2014-05-22,58
"23",2014-05-23,60
"24",2014-05-24,59
"25",2014-05-25,52
"26",2014-05-26,40
"27",2014-05-27,39
"28",2014-05-28,36
"29",2014-05-29,39
"30",2014-05-30,36
"31",2014-05-31,37
