"","start","Mission.Impossible.Rogue.Nation."
"1",2015-08-01,89
"2",2015-08-02,100
"3",2015-08-03,67
"4",2015-08-04,52
"5",2015-08-05,51
"6",2015-08-06,51
"7",2015-08-07,64
"8",2015-08-08,83
"9",2015-08-09,79
"10",2015-08-10,50
"11",2015-08-11,41
"12",2015-08-12,40
"13",2015-08-13,36
"14",2015-08-14,41
"15",2015-08-15,55
"16",2015-08-16,48
"17",2015-08-17,29
"18",2015-08-18,27
"19",2015-08-19,26
"20",2015-08-20,24
"21",2015-08-21,27
"22",2015-08-22,36
"23",2015-08-23,34
"24",2015-08-24,20
"25",2015-08-25,18
"26",2015-08-26,16
"27",2015-08-27,16
"28",2015-08-28,19
"29",2015-08-29,29
"30",2015-08-30,29
"31",2015-08-31,18
